sid,lulc,lulc_name,n_days,bias_mm,rmse_mm,r2,kge
AR-CCa,0,LC0,1334,0.124,0.849,0.743,0.819
AU-RDF,0,LC0,365,1.241,2.077,-0.863,-0.437
AU-Rig,0,LC0,730,0.096,1.15,-0.278,0.43
BE-Lon,0,LC0,726,-0.022,0.768,0.623,0.633
CA-ER1,0,LC0,654,0.025,0.954,0.526,0.701
CA-TPA,0,LC0,747,-0.702,1.765,-0.117,0.293
CH-Cha,0,LC0,730,-0.396,0.769,0.762,0.67
CH-Oe2,0,LC0,730,-0.222,0.799,0.712,0.741
CR-Fsc,0,LC0,1358,-1.68,2.134,-1.091,0.142
CZ-wet,0,LC0,730,0.016,0.84,0.751,0.689
DE-Geb,0,LC0,730,0.045,0.702,0.769,0.703
DE-Kli,0,LC0,715,0.125,0.665,0.761,0.843
DE-RuS,0,LC0,730,-0.484,0.832,0.657,0.722
ES-LJu,0,LC0,365,1.055,1.323,-7.242,-0.859
FR-Aur,0,LC0,2424,0.155,0.923,0.544,0.688
FR-EM2,0,LC0,3242,-0.265,0.922,0.605,0.576
FR-Gri,0,LC0,730,-0.087,0.659,0.71,0.783
IT-BCi,0,LC0,730,-0.681,1.136,0.236,0.525
IT-CA2,0,LC0,724,-0.467,0.882,0.318,0.581
IT-CA3,0,LC0,729,-0.029,0.885,0.748,0.738
IT-Lsn,0,LC0,3599,-0.298,0.961,0.745,0.629
US-Bi1,0,LC0,3063,-0.388,1.365,0.537,0.631
US-Bi2,0,LC0,2806,-0.181,1.407,0.557,0.701
US-CRT,0,LC0,58,-0.48,0.882,0.76,0.714
US-DS1,0,LC0,535,0.446,1.074,0.618,0.752
US-DS2,0,LC0,313,0.412,1.049,0.691,0.773
US-Dmg,0,LC0,1217,-1.147,1.637,0.611,0.552
US-HWB,0,LC0,495,-1.664,2.105,0.033,0.414
US-IB1,0,LC0,772,-0.259,0.908,0.701,0.756
US-KL1,0,LC0,1585,0.288,0.802,0.621,0.748
US-KL2,0,LC0,1469,0.477,0.835,0.533,0.522
US-KL3,0,LC0,1411,0.664,0.987,0.487,0.507
US-KM1,0,LC0,1273,0.166,0.682,0.693,0.804
US-KM2,0,LC0,1218,0.1,0.583,0.822,0.869
US-KM3,0,LC0,1258,0.123,0.583,0.837,0.871
US-Los,0,LC0,363,-0.067,0.527,0.906,0.873
US-MH2,0,LC0,115,0.018,0.956,0.845,0.795
US-MN1,0,LC0,2389,0.233,0.862,0.539,0.72
US-MN2,0,LC0,2393,0.183,0.784,0.647,0.789
US-MN3,0,LC0,1330,-0.557,1.334,0.506,0.618
US-MVW,0,LC0,114,0.544,1.26,0.436,0.551
US-MWA,0,LC0,956,0.099,0.958,0.657,0.793
US-Mi1,0,LC0,883,-0.043,0.771,0.683,0.84
US-Mi2,0,LC0,351,-0.077,0.788,0.723,0.841
US-Mi3,0,LC0,785,-0.264,0.847,0.691,0.78
US-Mj1,0,LC0,173,-0.421,1.193,0.513,0.484
US-Ne1,0,LC0,365,-1.959,2.558,-1.006,0.183
US-Ne2,0,LC0,365,-2.444,3.059,-1.086,0.101
US-Ne3,0,LC0,365,-1.222,1.75,-0.553,0.297
US-OPE,0,LC0,248,0.078,0.928,0.742,0.716
US-PSH,0,LC0,155,-0.478,0.727,0.009,0.456
US-RC1,0,LC0,744,0.334,0.819,0.655,0.729
US-RC2,0,LC0,714,0.686,1.3,0.084,0.422
US-RC3,0,LC0,741,0.972,1.503,-4.08,-0.708
US-RC4,0,LC0,518,0.409,0.905,0.457,0.645
US-RC5,0,LC0,477,0.908,1.506,0.308,0.566
US-Ro1,0,LC0,636,-0.24,1.042,0.746,0.733
US-Ro4,0,LC0,1818,0.243,0.714,0.748,0.783
US-Ro5,0,LC0,306,0.21,0.975,0.631,0.794
US-Ro6,0,LC0,298,-0.248,0.87,0.707,0.746
US-Snf,0,LC0,721,-0.607,1.097,0.438,0.618
US-Tw1,0,LC0,4017,0.426,1.178,0.67,0.757
US-Tw2,0,LC0,42,-1.852,2.001,-2.227,0.087
US-Tw3,0,LC0,1838,-0.488,0.933,0.764,0.719
US-UC1,0,LC0,1687,-0.541,1.087,0.489,0.617
US-UTV,0,LC0,275,-0.565,1.205,-0.046,-0.019
US-UiA,0,LC0,799,-0.142,0.645,0.877,0.852
US-UiB,0,LC0,1676,-0.153,0.909,0.737,0.775
US-UiC,0,LC0,907,-0.487,1.011,0.667,0.696
US-Wpp,0,LC0,177,0.044,0.91,0.736,0.855
