sid,n,r2,rmse,bias,kge
CA-EM2,378,0.23098911280126355,1.388612194738911,0.7122845724177725,0.38400190425234293
CA-ER1,654,-0.11969591758143583,1.4661543338712497,0.3476900003804588,0.495856946980453
CA-TP1,5792,0.2136578475501587,1.2214670823366234,0.7010079645883708,0.48856558005404327
CA-TPA,747,-0.18432615245188533,1.817194412632311,-0.3834152054047684,0.33239308931074796
US-A37,196,-0.5964092009318918,1.6021002183013529,-0.10798218903101049,0.3400915809407309
US-ARM,3653,-0.3423677650111441,1.5328008451959527,0.671250442215978,0.37926849067368507
US-Bi1,3063,0.2346266507426773,1.7558472244573964,0.6120427591949903,0.6134218752790431
US-Bi2,2806,-0.06275765285210344,2.179117345228537,0.4472158101627783,0.49981255314591266
US-CF1,313,-0.18855950471605154,1.3566787343038067,0.6592084174041359,0.22667385895856873
US-CF2,215,-0.4726261094694073,1.1703412341547097,0.6706886848643832,0.10475808599320591
US-CF3,255,-0.19268937898785077,1.2245719744107288,0.622616016575451,0.2149715993179524
US-CF4,277,0.015298578099302018,1.38039217270194,0.6906275091401847,0.3629279156778549
US-DFC,1820,0.6414787903892402,1.0509498289238783,0.0338583860763075,0.8104274924090484
US-DS2,313,-0.48905429284061497,2.303310845145696,1.4399632804320017,0.16010237513950099
US-INi,40,0.6306580766308238,0.8778779882973126,-0.008522820437850288,0.7733555463862922
US-INj,42,0.1228404745986249,1.2248335598902664,0.8025076636714145,0.38661177753601794
US-INp,34,0.32879906379115387,1.0020431640921654,0.18353471156723924,0.6528480956753313
US-KL3,2288,-0.07278927411486769,1.3083527808302973,0.8660234622490597,0.3187797483067166
US-MN1,2753,-0.002360740712449294,1.2839478362459795,0.6191883882562815,0.35440718172504726
US-MN2,2393,0.18494516248779802,1.191845176850236,0.5469436450422982,0.4577525033698726
US-MN3,1694,0.489907879641968,1.3484988985752655,0.17035778197661278,0.7445775593165886
US-MWA,956,0.5352596593277915,1.1151792143112567,0.2460456002728106,0.7480333545404435
US-Ro4,1818,0.2501978737965146,1.231751437883763,0.6890686825215202,0.39992739075000194
US-UC1,1687,0.5151604124807627,1.0585392783245242,-0.3058784605434478,0.701434584762348
US-UC2,1716,0.47808879312789454,1.0700253460447364,-0.24069214629162514,0.6965181284284659
US-UiB,2564,0.5747486826490901,1.1601930999177592,0.2850131211112276,0.7631036377317936
US-UTN,52,-2.6693048538720596,2.241404001451221,1.8930876828901868,0.3082633102407678
US-WT1,30,-8.602226592114643,2.2497177709316465,1.8602636731673448,-0.37460584338112857
US-xDC,693,0.5762085451990877,1.1901250342714518,0.6481001860099572,0.610626153320141
DE-Kli,3905,0.4342564822231093,1.0105460219239926,0.44405355391395324,0.59186217491036
FR-Aur,6939,-0.4345781251235965,1.4874273411350973,0.722386693684496,0.29179614814994104
FR-EM2,2556,0.4210742370136126,1.1152537396823614,0.3208764674201852,0.67168652087912
FR-Gri,4017,0.09719506478450723,1.2153543436816336,0.33452127521962666,0.5625200922223283
FR-Mej,1826,0.3234139506283792,1.0369649725208345,0.17326835503843172,0.6703653615205896
IT-Lsn,2922,0.6564420093138732,1.0948551334407084,0.17113328740621295,0.7625007082378297
