sid,lulc,lulc_name,n_days,bias_mm,rmse_mm,r2
AR-CCg,9,Savanna,743,-0.222,1.273,0.391
BR-Sa1,2,EBF,1551,0.653,1.384,-1.16
CA-Ca3,1,ENF,5627,0.505,0.939,0.063
CA-CF3,7,OpenShrub,264,0.361,0.924,0.692
CA-EM2,12,Cropland,378,0.544,1.2,0.426
CA-ER1,12,Cropland,654,0.377,1.155,0.305
CA-LP1,8,WoodySav,953,0.874,1.189,-2.083
CA-SCC,8,WoodySav,1379,0.072,0.641,0.746
CA-TP1,12,Cropland,5792,0.657,1.091,0.373
CA-TP3,5,MixForest,5842,0.368,1.119,0.339
CA-TP4,5,MixForest,1680,1.052,1.213,-5.862
CA-TPA,12,Cropland,747,-0.396,1.741,-0.087
CA-TPD,4,DBF,3652,0.443,0.932,0.729
CL-ACF,2,EBF,219,0.236,0.94,0.214
CL-SDP,9,Savanna,481,0.774,1.2,-0.197
PE-QFR,2,EBF,76,0.279,0.946,-0.077
PR-xGU,8,WoodySav,114,-0.238,1.378,0.033
US-A37,12,Cropland,196,0.059,1.498,-0.395
US-A39,10,Grassland,260,0.115,1.335,0.447
US-AMS,10,Grassland,532,0.496,0.984,0.677
US-ARM,12,Cropland,3653,0.916,1.644,-0.544
US-Bi1,12,Cropland,3063,0.156,1.271,0.599
US-Bi2,12,Cropland,2806,-0.013,1.514,0.487
US-BZB,8,WoodySav,2516,-0.238,0.791,0.548
US-BZF,1,ENF,3711,-0.214,0.829,0.664
US-BZo,8,WoodySav,1575,-0.166,0.699,0.695
US-BZS,5,MixForest,4024,0.244,0.653,0.404
US-CdM,10,Grassland,769,-0.537,1.06,-0.388
US-CF1,12,Cropland,313,0.63,1.207,0.06
US-CF2,12,Cropland,215,0.62,1.091,-0.28
US-CF3,12,Cropland,255,0.578,1.059,0.108
US-CF4,12,Cropland,277,0.638,1.187,0.272
US-CGG,10,Grassland,333,-0.456,0.847,-0.082
US-CMW,10,Grassland,6114,-1.392,2.265,-0.338
US-DFC,12,Cropland,1820,-0.004,0.912,0.73
US-Dmg,10,Grassland,1217,-1.152,1.802,0.528
US-DS2,12,Cropland,313,1.084,1.766,0.125
US-EA4,9,Savanna,60,0.473,0.877,0.104
US-EA5,10,Grassland,39,0.332,0.85,0.447
US-Esm,10,Grassland,2476,-0.606,1.19,-0.253
US-HBK,4,DBF,569,-0.612,1.568,0.465
US-Hsm,10,Grassland,1283,-2.062,2.918,-0.892
US-INi,12,Cropland,40,0.023,0.785,0.704
US-INj,12,Cropland,42,0.917,1.231,0.114
US-INp,12,Cropland,34,0.281,0.948,0.399
US-KL1,9,Savanna,2515,0.779,1.127,0.224
US-KL2,9,Savanna,2342,1.031,1.369,-0.337
US-KL3,12,Cropland,2288,0.857,1.176,0.134
US-KM1,8,WoodySav,1952,0.608,0.973,0.372
US-KM2,10,Grassland,1989,0.844,1.191,0.132
US-KM3,9,Savanna,1906,0.894,1.241,0.165
US-KM4,9,Savanna,1551,0.276,0.888,0.715
US-Los,8,WoodySav,4015,0.538,1.142,0.352
US-MBP,5,MixForest,389,0.23,0.619,0.742
US-Me2,8,WoodySav,5492,-0.158,0.876,0.52
US-Me4,1,ENF,372,-0.216,1.052,-0.03
US-Me6,8,WoodySav,3617,0.181,0.739,0.266
US-Me7,8,WoodySav,524,0.845,1.088,-23.341
US-MN1,12,Cropland,2753,0.645,1.186,0.144
US-MN2,12,Cropland,2393,0.581,1.086,0.323
US-MN3,12,Cropland,1694,0.153,1.274,0.545
US-Mpj,10,Grassland,2587,-0.03,0.795,-0.454
US-MtB,10,Grassland,2762,-0.81,1.372,-0.818
US-MWA,12,Cropland,956,0.242,1.025,0.607
US-MWF,4,DBF,711,0.394,1.167,0.514
US-MWW,9,Savanna,565,0.863,1.203,0.028
US-NR1,1,ENF,6209,0.095,1.117,0.221
US-NR3,10,Grassland,2706,0.376,0.823,-0.127
US-NR4,10,Grassland,2980,0.227,0.99,-0.179
US-ONA,9,Savanna,1618,0.281,0.747,0.531
US-OPE,9,Savanna,248,0.466,1.003,0.699
US-PAS,9,Savanna,516,-0.054,0.777,0.585
US-Prr,8,WoodySav,1245,0.731,1.045,-1.284
US-Rls,10,Grassland,2017,-0.158,0.77,0.465
US-Rms,10,Grassland,1725,-0.826,1.79,-0.081
US-Ro4,12,Cropland,1818,0.726,1.145,0.352
US-Rpf,8,WoodySav,4764,0.082,0.518,0.718
US-Rwf,10,Grassland,2038,-0.705,1.631,-0.001
US-Rws,10,Grassland,1829,0.11,0.731,0.182
US-SRG,10,Grassland,4990,-0.438,0.935,0.371
US-SRM,10,Grassland,6083,-0.195,0.833,0.291
US-SSH,4,DBF,385,1.107,1.523,-0.538
US-Syv,5,MixForest,3651,0.39,1.36,0.16
US-Ton,9,Savanna,5113,0.326,0.643,0.655
US-Tw1,10,Grassland,4561,0.395,1.228,0.646
US-Tw4,10,Grassland,3689,-1.183,2.005,0.543
US-Uaf,1,ENF,5770,0.332,0.627,0.555
US-UC1,12,Cropland,1687,-0.227,0.949,0.611
US-UC2,12,Cropland,1716,-0.146,0.898,0.633
US-UiB,12,Cropland,2564,0.36,1.029,0.665
US-UMB,4,DBF,6270,0.855,1.362,0.281
US-UMd,4,DBF,5519,0.961,1.246,0.069
US-UTD,10,Grassland,223,-1.644,3.224,-0.529
US-UTE,10,Grassland,71,-1.649,2.759,-0.452
US-UTJ,7,OpenShrub,154,-2.108,3.535,-0.334
US-UTM,10,Grassland,205,-1.393,2.039,-1.849
